USER_ID,CLUB_ID
1,105
1,106
1,107
2,101
2,105
2,109
3,101
3,108
3,109
4,102
4,103
4,104
5,101
5,103
5,105
6,101
6,108
7,103
7,105
7,108
8,103
8,105
8,108
9,105
9,107
9,109
10,103
10,104
10,105
11,106
11,108
11,109
12,101
12,104
12,105
13,101
13,107
13,109
14,105
14,107
14,108
15,104
15,108
15,109
16,104
16,106
16,107
17,101
17,107
18,101
18,105
18,107
19,101
19,107
19,108
20,101
20,107
20,109
21,106
21,108
21,109
22,101
22,103
22,107
23,101
23,104
23,107
23,108
24,104
24,108
25,101
25,104
25,105
25,107
25,108
26,101
26,108
26,109
27,104
27,105
27,106
28,106
28,107
28,109
29,108
29,109
30,106
30,108
30,109
31,107
31,108
32,107
33,106
33,107
33,109
34,105
34,106
34,107
35,105
35,107
35,109
36,104
36,106
36,107
37,102
37,105
37,108
38,107
38,108
38,109
39,104
39,105
39,109
40,101
40,102
40,109
41,101
41,102
41,107
42,102
42,107
42,108
43,101
43,108
43,109
44,107
44,108
44,109
45,102
45,104
45,108
46,102
46,104
46,108
47,101
47,102
47,109
48,103
48,105
48,109
49,104
49,105
49,107
50,107
50,108
50,109
51,106
51,107
51,109
52,101
52,107
52,108
53,107
53,108
53,109
54,101
54,102
54,105
55,101
55,103
55,109
56,102
56,105
56,106
57,101
57,102
57,104
58,101
58,104
58,108
59,101
59,105
59,108
60,101
60,107
60,108
61,102
61,104
61,105
62,102
62,104
62,105
63,102
63,104
63,107
64,102
64,104
64,107
65,104
65,106
65,107
66,104
66,108
66,109
67,104
67,106
67,107
68,104
68,106
68,107
69,101
69,103
69,109
70,106
70,107
70,108
71,104
71,107
71,109
72,104
72,107
72,109
73,105
73,107
73,109
74,101
74,108
74,109
75,102
75,108
75,109
76,101
76,107
76,108
77,102
77,107
77,108
78,102
78,108
78,109
79,102
79,104
79,108
79,109
80,102
80,108
80,109
81,102
81,108
81,109
82,101
82,102
82,107
83,106
84,105
84,108
84,109
85,101
85,104
85,109
86,106
86,107
86,109
87,106
87,107
87,109
88,101
88,102
88,105
